superstar,stock,client,market,type,action type,Date,avg,count,change
Plutus Wealth,Accelya Solutions India Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,1/12/2024,1709.99,74771,0.005
Jupiter South Asia Investment Company Limited,"Adani Ports & Special Economic Zone Ltd.

10-year high",JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED,BSE,Block,Sell,1/10/2024,1197.1,397074,0.0002
Reliance Group,ADF Foods Ltd.,RELIANCE COMMERCIAL FINANCE LIMITED,BSE,Bulk,Purchase,1/18/2024,192.32,550000,0.005
Pi Opportunities Fund I,Aptus Value Housing Finance India Ltd.,STEADVIEW CAPITAL OPPORTUNITIES PCC,NSE,Bulk,Sell,2/15/2024,355.75,6000000,0.012
Steadview Capital Mauritius Limited,Aptus Value Housing Finance India Ltd.,STEADVIEW CAPITAL MAURITIUS LIMITED,NSE,Bulk,Purchase,2/15/2024,355.78,6000000,0.012
HDFC Group,Avalon Technologies Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,2/8/2024,474,1431000,0.0218
SBI Group,Indiabulls Housing Finance Ltd.,SBI MUTUAL FUND A/C SBI ARBITRAGE OPPORTUNITY FUND,NSE,Bulk,Sell,12/28/2023,218.16,3090600,0.0054
SBI Group,Zydus Wellness Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/28/2023,1632,390000,0.0061
SBI Group,Zydus Wellness Ltd.,SBI MUTUAL FUND,NSE,Block,Purchase,12/28/2023,1632,390000,0.0061
SBI Group,Astral Ltd.,NATIONAL PENSION SYSTEM (NPS) TRUST SBI,NSE,Block,Purchase,12/20/2023,1889.8,105830,0.0004
SBI Group,Grindwell Norton Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/20/2023,2160.25,1213384,0.011
SBI Group,Grindwell Norton Ltd.,SBI MUTUAL FUND,NSE,Bulk,Sell,12/20/2023,2160.25,1213230,0.011
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,12/20/2023,445.35,3268590,0.0052
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,3268590,0.0052
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,2334706,0.0037
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Block,Purchase,12/20/2023,445.35,2179059,0.0035
SBI Group,Embassy Office Parks REIT,SBI MUTUAL FUND,BSE,Bulk,Purchase,12/20/2023,316,7220894,0.0076
SBI Group,Embassy Office Parks REIT,SBI MUTUAL FUND,BSE,Bulk,Purchase,12/20/2023,316,7179106,0.0076
SBI Group,Karur Vysya Bank Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,12/12/2023,162,7500000,0.0093
SBI Group,Karur Vysya Bank Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/12/2023,162,4500000,0.0056
SBI Group,"Swan Energy Ltd.

10-year high",SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,12/11/2023,461,1000000,0.0038
SBI Group,"Swan Energy Ltd.

10-year high",SBI LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,12/5/2023,414,2000000,0.0076
SBI Group,"Swan Energy Ltd.

10-year high",SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,12/5/2023,414,2000000,0.0076
SBI Group,G R Infraprojects Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,12/4/2023,1074.5,1805754,0.0187
SBI Group,G R Infraprojects Ltd.,SBI MUTUAL FUND,NSE,Bulk,Sell,12/4/2023,1074.5,1794285,0.0186
SBI Group,SEPC Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,11/29/2023,18.78,35636940,0.0253
SBI Group,SEPC Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,11/28/2023,19.48,18999422,0.0135
SBI Group,Rajshree Sugars & Chemicals Ltd.,STATE BANK OF INDIA,BSE,Bulk,Sell,11/24/2023,54.67,369571,0.0112
SBI Group,SEPC Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,11/24/2023,20.71,9385452,0.0067
SBI Group,Rajshree Sugars & Chemicals Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,11/23/2023,52.16,208202,0.0063
SBI Group,SEPC Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,11/23/2023,20,8873785,0.0063
SBI Group,Chemplast Sanmar Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,11/20/2023,428.3,7000000,0.0443
SBI Group,Chemplast Sanmar Ltd.,SBI MUTUAL FUND,NSE,Bulk,Sell,11/20/2023,428.3,7000000,0.0443
SBI Group,Go Fashion (India) Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,11/20/2023,1221.65,1855715,0.0344
SBI Group,Go Fashion (India) Ltd.,SBI MUTUAL FUND,NSE,Bulk,Sell,11/20/2023,1221.65,1855638,0.0344
SBI Group,MSP Steel & Power Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,11/13/2023,18.53,1929977,0.005
SBI Group,Aptus Value Housing Finance India Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,11/10/2023,287,6000000,0.012
SBI Group,Aptus Value Housing Finance India Ltd.,SBI MUTUAL FUND,NSE,Block,Purchase,11/10/2023,287,6000000,0.012
SBI Group,MSP Steel & Power Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,10/11/2023,18.32,4200000,0.0109
SBI Group,Jyoti Structures Ltd.,STATE BANK OF INDIA,BSE,Bulk,Sell,10/9/2023,16.1,3400000,0.0054
SBI Group,Tube Investments of India Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,9/29/2023,2900,1204746,0.0062
SBI Group,MSP Steel & Power Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,9/28/2023,16.3,3800000,0.0099
SBI Group,MSP Steel & Power Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,9/27/2023,15.55,5700000,0.0148
SBI Group,JTL Industries Ltd.,SBI GENERAL INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,9/13/2023,201,600000,0.0035
SBI Group,L&T Finance Holdings Ltd.,SBI LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,9/12/2023,130,14680000,0.0059
SBI Group,VRL Logistics Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,9/8/2023,681,1354201,0.0155
SBI Group,VRL Logistics Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,9/8/2023,681,574804,0.0066
SBI Group,Safari Industries (India) Ltd.,SBI LIFE INSURANCE COMPANY LTD,BSE,Bulk,Purchase,9/5/2023,3775,205000,0.0043
SBI Group,"Zomato Ltd.

52 week high",SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,8/28/2023,90.1,7214001,0.0008
SBI Group,Coforge Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,8/24/2023,4703,585000,0.0095
Goldman Sachs India Limited,Avalon Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,2/8/2024,474.01,1493822,0.0228
Jupiter South Asia Investment Company Limited,"Bank of Baroda

10-year high",JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED,BSE,Block,Sell,1/10/2024,223.2,1661659,0.0003
Jupiter South Asia Investment Company Limited,Bank of India,JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED,BSE,Block,Sell,1/10/2024,118.85,1619859,0.0004
Vantage Equity Fund,Banka Bioloo Ltd.,KENNETH ANDRADE,NSE,Bulk,Sell,2/1/2024,162.6,75000,0.0069
Vantage Equity Fund,Banka Bioloo Ltd.,KENNETH ANDRADE,NSE,Bulk,Sell,2/1/2024,162.6,75000,0.0069
Vantage Equity Fund,Banka Bioloo Ltd.,KENNETH ANDRADE,NSE,Bulk,Sell,2/1/2024,162.6,75000,0.0069
HDFC Group,Sansera Engineering Ltd.,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Bulk,Purchase,12/22/2023,965,825000,0.0154
HDFC Group,Symphony Ltd.,HDFC MUTUAL FUND MULTI CAP FUND,NSE,Bulk,Purchase,12/20/2023,880,600000,0.0087
HDFC Group,Embassy Office Parks REIT,HDFC MUTUAL FUND A/C - HDFC PRUDANCE FUND,BSE,Bulk,Purchase,12/20/2023,316,8077631,0.0085
HDFC Group,Embassy Office Parks REIT,HDFC MUTUAL FUND A/C HTCL - HDFC Flexi Cap Fund,BSE,Bulk,Purchase,12/20/2023,316,6483471,0.0068
HDFC Group,Embassy Office Parks REIT,HDFC MUTUAL FUND A/C HDFC CREDIT RISK DEBT FUND,BSE,Bulk,Purchase,12/20/2023,316,6058223,0.0064
HDFC Group,"Sapphire Foods India Ltd.

Insider Trades",HDFC MUTUAL FUND,BSE,Bulk,Purchase,12/18/2023,1400,2200000,0.0345
HDFC Group,PVR INOX Ltd.,HDFC MUTUAL FUND,NSE,Block,Purchase,12/15/2023,1753,57225,0.0006
HDFC Group,PB Fintech Ltd.,HDFC MUTUAL FUND,BSE,Block,Purchase,12/15/2023,800.05,1150000,0.0025
HDFC Group,"Fusion Micro Finance Ltd.

Insider Trades",HDFC MUTUAL FUND,BSE,Bulk,Purchase,12/14/2023,555.6,3129172,0.031
