superstar,stock,client,market,type,action type,Date,avg,count,change
SBI Group,Mankind Pharma Ltd.,SBI MUTUAL FUND,NSE,Block,Purchase,45330,2107.35,285467,0.0007,
SBI Group,Mankind Pharma Ltd.,SBI MUTUAL FUND,NSE,Block,Purchase,45330,2107.35,285465,0.0007,
SBI Group,"Krishna Institute of Medical Sciences Ltd.

10-year high",SBI LIFE INSURANCE COMPANY LTD,BSE,Bulk,Purchase,45328,2085,1149074,0.0144,
SBI Group,"Tips Industries Ltd.

10-year high",SBI MUTUAL FUND,BSE,Bulk,Purchase,45320,380,6425721,0.05,
SBI Group,Tamilnadu Telecommunications Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45300,10.85,427289,0.0094,
SBI Group,VST Industries Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,45293,3390,225000,0.0146,
SBI Group,Indiabulls Housing Finance Ltd.,SBI MUTUAL FUND A/C SBI ARBITRAGE OPPORTUNITY FUND,NSE,Bulk,Sell,45288,218.16,3090600,0.0054,
SBI Group,Zydus Wellness Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,45288,1632,390000,0.0061,
SBI Group,Zydus Wellness Ltd.,SBI MUTUAL FUND,NSE,Block,Purchase,45288,1632,390000,0.0061,
SBI Group,Astral Ltd.,NATIONAL PENSION SYSTEM (NPS) TRUST SBI,NSE,Block,Purchase,45280,1889.8,105830,0.0004,
SBI Group,Grindwell Norton Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,45280,2160.25,1213384,0.011,
SBI Group,Grindwell Norton Ltd.,SBI MUTUAL FUND,NSE,Bulk,Sell,45280,2160.25,1213230,0.011,
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,45280,445.35,3268590,0.0052,
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Block,Purchase,45280,445.35,3268590,0.0052,
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Block,Purchase,45280,445.35,2334706,0.0037,
SBI Group,Nippon Life India Asset Management Ltd.,SBI MUTUAL FUND,BSE,Block,Purchase,45280,445.35,2179059,0.0035,
SBI Group,Embassy Office Parks REIT,SBI MUTUAL FUND,BSE,Bulk,Purchase,45280,316,7220894,0.0076,
SBI Group,Embassy Office Parks REIT,SBI MUTUAL FUND,BSE,Bulk,Purchase,45280,316,7179106,0.0076,
SBI Group,Karur Vysya Bank Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,45272,162,7500000,0.0093,
SBI Group,Karur Vysya Bank Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,45272,162,4500000,0.0056,
SBI Group,Swan Energy Ltd.,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,45271,461,1000000,0.0038,
SBI Group,Swan Energy Ltd.,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,45265,414,2000000,0.0076,
SBI Group,Swan Energy Ltd.,SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,45265,414,2000000,0.0076,
SBI Group,G R Infraprojects Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,45264,1074.5,1805754,0.0187,
SBI Group,G R Infraprojects Ltd.,SBI MUTUAL FUND,NSE,Bulk,Sell,45264,1074.5,1794285,0.0186,
SBI Group,SEPC Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45259,18.78,35636940,0.0253,
SBI Group,SEPC Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45258,19.48,18999422,0.0135,
SBI Group,Rajshree Sugars & Chemicals Ltd.,STATE BANK OF INDIA,BSE,Bulk,Sell,45254,54.67,369571,0.0112,
SBI Group,SEPC Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45254,20.71,9385452,0.0067,
SBI Group,Rajshree Sugars & Chemicals Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45253,52.16,208202,0.0063,
SBI Group,SEPC Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45253,20,8873785,0.0063,
SBI Group,Chemplast Sanmar Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,45250,428.3,7000000,0.0443,
SBI Group,Chemplast Sanmar Ltd.,SBI MUTUAL FUND,NSE,Bulk,Sell,45250,428.3,7000000,0.0443,
SBI Group,Go Fashion (India) Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,45250,1221.65,1855715,0.0344,
SBI Group,Go Fashion (India) Ltd.,SBI MUTUAL FUND,NSE,Bulk,Sell,45250,1221.65,1855638,0.0344,
SBI Group,MSP Steel & Power Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45243,18.53,1929977,0.005,
SBI Group,Aptus Value Housing Finance India Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,45240,287,6000000,0.012,
SBI Group,Aptus Value Housing Finance India Ltd.,SBI MUTUAL FUND,NSE,Block,Purchase,45240,287,6000000,0.012,
SBI Group,MSP Steel & Power Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45210,18.32,4200000,0.0109,
SBI Group,Jyoti Structures Ltd.,STATE BANK OF INDIA,BSE,Bulk,Sell,45208,16.1,3400000,0.0054,
SBI Group,Tube Investments of India Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,45198,2900,1204746,0.0062,
SBI Group,MSP Steel & Power Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45197,16.3,3800000,0.0099,
SBI Group,MSP Steel & Power Ltd.,STATE BANK OF INDIA,NSE,Bulk,Sell,45196,15.55,5700000,0.0148,
SBI Group,JTL Industries Ltd.,SBI GENERAL INSURANCE COMPANY LIMITED,NSE,Bulk,Purchase,45182,201,600000,0.0035,
SBI Group,L&T Finance Holdings Ltd.,SBI LIFE INSURANCE COMPANY LTD,BSE,Block,Purchase,45181,130,14680000,0.0059,
SBI Group,VRL Logistics Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,45177,681,1354201,0.0155,
SBI Group,VRL Logistics Ltd.,SBI MUTUAL FUND,BSE,Bulk,Purchase,45177,681,574804,0.0066,
SBI Group,Safari Industries (India) Ltd.,SBI LIFE INSURANCE COMPANY LTD,BSE,Bulk,Purchase,45174,3775,205000,0.0043,
SBI Group,"Zomato Ltd.

52 week high",SBI LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,45166,90.1,7214001,0.0008,
SBI Group,Coforge Ltd.,SBI MUTUAL FUND,NSE,Bulk,Purchase,45162,4703,585000,0.0095,
HDFC Group,Data Patterns (India) Ltd.,HDFC MUTUAL FUND,BSE,Block,Purchase,45338,1837,138000,0.0025,
HDFC Group,"Sudarshan Chemical Industries Ltd.

52 week high",HDFC MUTUAL FUND,BSE,Bulk,Purchase,45337,513.99,1775551,0.0256,
HDFC Group,Avalon Technologies Ltd.,HDFC MUTUAL FUND,NSE,Bulk,Purchase,45330,474,1431000,0.0218,
HDFC Group,Computer Age Management Services Ltd.,HDFC BANK LIMITED,NSE,Bulk,Sell,45315,2700.08,529000,0.0108,
HDFC Group,Computer Age Management Services Ltd.,HDFC BANK LIMITED,BSE,Bulk,Sell,45315,2700,471000,0.0096,
HDFC Group,VST Industries Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Sell,45293,3390.13,200000,0.013,
HDFC Group,Sansera Engineering Ltd.,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Bulk,Purchase,45282,965,825000,0.0154,
HDFC Group,Symphony Ltd.,HDFC MUTUAL FUND MULTI CAP FUND,NSE,Bulk,Purchase,45280,880,600000,0.0087,
HDFC Group,Embassy Office Parks REIT,HDFC MUTUAL FUND A/C - HDFC PRUDANCE FUND,BSE,Bulk,Purchase,45280,316,8077631,0.0085,
HDFC Group,Embassy Office Parks REIT,HDFC MUTUAL FUND A/C HTCL - HDFC Flexi Cap Fund,BSE,Bulk,Purchase,45280,316,6483471,0.0068,
HDFC Group,Embassy Office Parks REIT,HDFC MUTUAL FUND A/C HDFC CREDIT RISK DEBT FUND,BSE,Bulk,Purchase,45280,316,6058223,0.0064,
HDFC Group,Sapphire Foods India Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,45278,1400,2200000,0.0345,
HDFC Group,PVR INOX Ltd.,HDFC MUTUAL FUND,NSE,Block,Purchase,45275,1753,57225,0.0006,
HDFC Group,PB Fintech Ltd.,HDFC MUTUAL FUND,BSE,Block,Purchase,45275,800.05,1150000,0.0025,
HDFC Group,Fusion Micro Finance Ltd.,HDFC MUTUAL FUND,BSE,Bulk,Purchase,45274,555.6,3129172,0.031,
HDFC Group,Fusion Micro Finance Ltd.,HDFC MUTUAL FUND,BSE,Block,Purchase,45274,555.6,3129172,0.031,
HDFC Group,Fusion Micro Finance Ltd.,HDFC STANDARD LIFE INSURANCE CO LTD,BSE,Block,Purchase,45274,555.6,388000,0.0038,
HDFC Group,Delta Corp Ltd.,HDFC MUTUAL FUND-HDFC MULTI CAP FUND,NSE,Bulk,Purchase,45271,135.95,3000000,0.0112,
HDFC Group,Delta Corp Ltd.,HDFC MUTUAL FUND - HDFC MID-CAP OPPORTUNITIES FUND,NSE,Bulk,Sell,45271,135.95,3000000,0.0112,
HDFC Group,Jagran Prakashan Ltd.,HDFC MUTUAL FUND-HDFC MULTI CAP FUND,NSE,Bulk,Purchase,45271,95.55,3200000,0.0147,
HDFC Group,Jagran Prakashan Ltd.,HDFC MUTUAL FUND - HDFC MID-CAP OPPORTUNITIES FUND,NSE,Bulk,Sell,45271,95.66,3595948,0.0165,
