superstar,stock,client,market,type,action type,Date,avg,count,change,buy count
Copthall Mauritius Investment Limited,Mankind Pharma Ltd.,COPTHALL MAURITIUS INVESTMENT LTD,NSE,Block,Purchase,2/8/2024,2107.35,206718,0.0005,21
Axis Group,Mankind Pharma Ltd.,AXIS MUTUAL FUND,NSE,Block,Purchase,2/8/2024,2107.35,98437,0.0002,21
Government Pension Fund Global,Mankind Pharma Ltd.,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,NSE,Block,Purchase,2/8/2024,2107.35,126516,0.0003,21
New World Fund Inc,Mankind Pharma Ltd.,NEW WORLD FUND INC,NSE,Block,Purchase,2/8/2024,2107.35,1766434,0.0044,21
New World Fund Inc,Mankind Pharma Ltd.,AMERICAN FUNDS INSURANCE SERIES NEW WORLD FUND,NSE,Block,Purchase,2/8/2024,2107.35,108345,0.0003,21
New World Fund Inc,Mankind Pharma Ltd.,CAPITAL GROUP NEW WORLD FUND (LUX),NSE,Block,Purchase,2/8/2024,2107.35,15211,0,21
Abu Dhabi Investment Authority,Mankind Pharma Ltd.,ABUDHABI INVESTMENT AUTHORITY MONSOON,NSE,Block,Purchase,2/8/2024,2107.35,47645,0.0001,21
Bajaj Allianz Life Insurance Company Ltd.,Mankind Pharma Ltd.,BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,2/8/2024,2107.35,50043,0.0001,21
Morgan Stanley Asia (Singapore) Pte.,Mankind Pharma Ltd.,MORGAN STANLEY ASIA SINGAPORE PTE,NSE,Block,Purchase,2/8/2024,2107.35,50043,0.0001,21
Axis Group,Mankind Pharma Ltd.,AXIS MUTUAL FUND,NSE,Block,Purchase,2/8/2024,2107.35,98438,0.0002,21
Hsbc Global Investment Funds,Mankind Pharma Ltd.,HSBC GLOBAL INVESTMENT FUNDS - ASIA EX JAPAN EQUITY,NSE,Block,Purchase,2/8/2024,2107.35,8283,0,21
